Date,Open,High,Low,Close,Adj Close,Volume,Return,Log_Return,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_5,Ret_Lag_10,Daily_Range_Pct,Close_to_MA_5,Close_to_MA_10,Close_to_MA_20,Close_to_MA_50,Close_to_EMA_10,Close_to_EMA_20,Rolling_Std_10,Rolling_Std_20,RSI_14,MACD_Pct,Volume_to_MA_10,Target_Close_Next,Target_Return_Next,Target_Direction,USD_Index,US_10Y_Yield,VIX,CPI_Inflation,USDA_WASDE_Stocks,Precipitation_KeyRegions,Temperature_Anomaly_KeyRegions,Planting_Progress_Pct,Export_Sales,News_Volume,Daily_Bullish,Daily_Bearish,Daily_NSS,Sentiment_EMA_7d,Sentiment_Spike,Sentiment_EMA_30d,Sentiment_EMA_60d,Sentiment_x_Trend
2014-06-02,624.75,626.75,616.25,620.75,620.75,62437.0,-0.0103626943005181,-0.0104167608582557,-0.0083003952569169,-0.0097847358121331,-0.0035101404056162,0.0,0.0003707823507601,0.0169150221506242,0.9821216675895896,0.961024886790262,0.9213358070500928,0.9091441669046626,0.9627589401484836,0.9386413768632828,0.0046694959248203,0.008288941959664,22.449017260659502,-0.0097296053145509,1.0887825939869755,612.5,-0.013290374546919,0.0,80.63999939,2.54,11.57999992,237.231,188.61,2.4535049,1.158097656,88.0,491985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,622.0,624.0,611.0,612.5,612.5,55548.0,-0.013290374546919,-0.0133794819693939,-0.0103626943005181,-0.0083003952569169,-0.0097847358121331,-0.0176245210727968,-0.005930318754633,0.0212244897959183,0.9778877624331443,0.9568443663347004,0.917207944143908,0.8995843553101179,0.958685193048842,0.9327251844716108,0.0048384725495779,0.0065568448117417,20.4673684777634,-0.0099601456621636,0.9853898062144594,614.5,0.003265306122449,1.0,80.55000305,2.6,11.86999989,237.231,188.61,1.387117263,1.312636574,88.0,491985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04,612.5,619.5,610.75,614.5,614.5,46186.0,0.003265306122449,0.0032599865872075,-0.013290374546919,-0.0103626943005181,-0.0083003952569169,-0.0035101404056162,-0.0093214019388515,0.0142392188771358,0.988736926790024,0.96748799496182,0.9282126807900004,0.90470757112886,0.9685397967953314,0.9415302192573324,0.0061921968895382,0.0069745041310908,22.25896576228976,-0.0090627378600984,0.8496227046794765,605.75,-0.0142392188771358,0.0,80.66999817,2.61,12.07999992,237.231,188.61,1.708542343,1.284917479,88.0,491985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05,613.5,617.25,605.0,605.75,605.75,52098.0,-0.0142392188771358,-0.0143415693094543,0.003265306122449,-0.013290374546919,-0.0103626943005181,-0.0097847358121331,-0.007527286413248,0.0202228642179116,0.9831209932646272,0.9618132740552556,0.9234345821105988,0.8945844963300991,0.9626689409438376,0.9345207089158362,0.0065218824339565,0.0070040555805433,20.12319463250768,-0.0088607108758831,0.9855267663076706,618.25,0.0206355757325629,1.0,80.37000275,2.59,11.68000031,237.231,188.61,1.664443033,1.388180115,88.0,478901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-06,605.5,619.5,603.0,618.25,618.25,66067.0,0.0206355757325629,0.0204255467048904,-0.0142392188771358,0.003265306122449,-0.013290374546919,-0.0083003952569169,-0.0102389078498293,0.0266882329154872,1.0063481728656305,0.98702853721812,0.9494193300700644,0.9151328108232124,0.9856642497666054,0.958019905701998,0.0111937648032351,0.0093684370555866,30.3976802354088,-0.0064935903108565,1.2310062959877988,612.5,-0.0093004448038819,0.0,80.41000366,2.6,10.72999954,237.231,188.61,0.858221027,1.546198569,88.0,478901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,618.25,626.25,607.5,612.5,612.5,65835.0,-0.0093004448038819,-0.0093439639826435,0.0206355757325629,-0.0142392188771358,0.003265306122449,-0.0103626943005181,0.0,0.0306122448979591,0.9996735759751916,0.9841333601124724,0.947354175125186,0.9089020463280356,0.9806878566277852,0.9537323267122578,0.0110884034401369,0.0093165607484587,28.576744307687704,-0.0051705060785265,1.209048720063006,601.25,-0.0183673469387755,0.0,80.65000153,2.62,11.14999962,237.231,188.61,2.03128175,0.696296833,95.0,478901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,614.75,616.0,599.25,601.25,601.25,69509.0,-0.0183673469387755,-0.0185381209989111,-0.0093004448038819,0.0206355757325629,-0.0142392188771358,-0.013290374546919,-0.0176245210727968,0.0278586278586278,0.9849291506265868,0.9722671410090556,0.937110349127182,0.8944377501078532,0.9692528858500844,0.9419368547665192,0.0111752090512709,0.0096576340110195,25.37406383488593,-0.0050294247164693,1.2394438025134942,589.25,-0.0199584199584199,0.0,80.81999969,2.64,10.98999977,237.231,188.61,1.8423501,0.781247474,95.0,478901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,603.0,608.5,588.5,589.25,589.25,75741.0,-0.0199584199584199,-0.0201602796037304,-0.0183673469387755,-0.0093004448038819,0.0206355757325629,0.003265306122449,-0.0035101404056162,0.0339414509970301,0.9733234225305584,0.9605509821501343,0.9250210945625084,0.8786776218666587,0.9586390429072496,0.9299447193855528,0.0119016576319819,0.0090010292356407,22.479985414383226,-0.0057210501645732,1.2801375107113124,585.25,-0.006788290199406,0.0,80.79000092,2.65,11.60000038,237.231,188.61,1.420260773,0.181458838,95.0,478901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,588.0,593.5,584.75,585.25,585.25,63749.0,-0.006788290199406,-0.0068114354452204,-0.0199584199584199,-0.0183673469387755,-0.0093004448038819,-0.0142392188771358,-0.0097847358121331,0.0149508756941478,0.9733078330284384,0.9614357879173684,0.925497637826405,0.8750813029403629,0.9604910215203132,0.9303989103000232,0.0118886128528477,0.0089716092967561,21.59578113413015,-0.0059617714921487,1.0523978539001064,586.0,0.001281503630927,1.0,80.58000183,2.58,12.56000042,237.231,188.61,1.797587113,-0.207692026,95.0,523815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,585.5,594.5,583.5,586.0,586.0,66219.0,0.001281503630927,0.0012806832059925,-0.006788290199406,-0.0199584199584199,-0.0183673469387755,0.0206355757325629,-0.0083003952569169,0.0187713310580204,0.98512229973943,0.9692358584187892,0.9331953180985748,0.8784026861734021,0.968462056618464,0.9377004526515156,0.0122139030958909,0.0091724024162943,22.213578900205164,-0.0053689443147177,1.0622420350695785,581.0,-0.0085324232081911,0.0,80.58000183,2.6,12.18000031,237.231,188.61,2.1203801,-0.5531087,95.0,523815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
